model_name,batch_size,input_tokens,optimizer_name,experiment_type,memory_limit_MB,actual_peak_reserved_MB,predicted_peak_reserved_MB,actual_peak_allocated_MB,predicted_peak_allocated_MB,actual_fits,predicted_fits,correct_prediction,dangerous_failure,conservative_failure,outcome
distilgpt2,1,64,sgd,distilgpt2_optimizer_comparison,1725,1030.0,1002.2861172656252,956.49,928.042701171875,True,True,True,False,False,correct
distilgpt2,1,64,sgd,distilgpt2_optimizer_comparison,1750,1030.0,1002.2861172656252,956.49,928.042701171875,True,True,True,False,False,correct
distilgpt2,1,64,sgd,distilgpt2_optimizer_comparison,1800,1030.0,1002.2861172656252,956.49,928.042701171875,True,True,True,False,False,correct
distilgpt2,1,64,sgd,distilgpt2_optimizer_comparison,2048,1030.0,1002.2861172656252,956.49,928.042701171875,True,True,True,False,False,correct
distilgpt2,1,64,sgd,distilgpt2_optimizer_comparison,4096,1030.0,1002.2861172656252,956.49,928.042701171875,True,True,True,False,False,correct
distilgpt2,1,64,sgd,distilgpt2_optimizer_comparison,8192,1030.0,1002.2861172656252,956.49,928.042701171875,True,True,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_optimizer_comparison,512,1738.0,1677.2249453906247,1600.94,1552.9860605468748,False,False,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_optimizer_comparison,768,1738.0,1677.2249453906247,1600.94,1552.9860605468748,False,False,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_optimizer_comparison,1024,1738.0,1677.2249453906247,1600.94,1552.9860605468748,False,False,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_optimizer_comparison,1200,1738.0,1677.2249453906247,1600.94,1552.9860605468748,False,False,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_optimizer_comparison,1400,1738.0,1677.2249453906247,1600.94,1552.9860605468748,False,False,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_optimizer_comparison,1500,1738.0,1677.2249453906247,1600.94,1552.9860605468748,False,False,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_optimizer_comparison,1600,1738.0,1677.2249453906247,1600.94,1552.9860605468748,False,False,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_optimizer_comparison,1700,1738.0,1677.2249453906247,1600.94,1552.9860605468748,False,True,False,True,False,dangerous_underprediction
distilgpt2,1,64,adamw,distilgpt2_optimizer_comparison,1725,1738.0,1677.2249453906247,1600.94,1552.9860605468748,False,True,False,True,False,dangerous_underprediction
distilgpt2,1,64,adamw,distilgpt2_optimizer_comparison,1750,1738.0,1677.2249453906247,1600.94,1552.9860605468748,True,True,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_optimizer_comparison,1800,1738.0,1677.2249453906247,1600.94,1552.9860605468748,True,True,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_optimizer_comparison,2048,1738.0,1677.2249453906247,1600.94,1552.9860605468748,True,True,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_optimizer_comparison,4096,1738.0,1677.2249453906247,1600.94,1552.9860605468748,True,True,True,False,False,correct
distilgpt2,1,64,adamw,distilgpt2_optimizer_comparison,8192,1738.0,1677.2249453906247,1600.94,1552.9860605468748,True,True,True,False,False,correct
